,FloodYr1,FloodYr2,FloodYr3,FloodYr4,FloodYr5,FloodYr6,FloodYr7,FloodYr8,FloodYr9,FloodYr10
50,47739.00252,151816.154,53398.39552,89750.87629,66931.66573,65720.17052,43575.53123,219551.6528,81943.89719,68445.50222
51,47903.68491,113763.1852,49241.94848,206167.3244,49697.4797,246801.352,56571.25063,49464.42099,48070.84285,49919.00316
52,58733.61899,39914.64431,164115.2656,50260.99165,94705.56461,82101.3052,231861.4362,47177.20451,157985.2206,47568.88852
53,68137.07349,46197.1006,61006.00926,151353.9668,45180.96915,48527.45185,81328.05695,123967.243,56933.35486,94770.2839
54,42104.4385,51175.90393,62182.17771,69649.47441,163828.341,60315.79225,171475.0758,93764.48749,42627.79635,216526.5009
55,95566.51209,103684.8591,123824.9739,108758.2451,49370.18807,84111.68756,85902.7904,57051.69355,64877.04241,63177.54284
56,89588.21034,339079.5015,97698.0714,59084.25083,65630.65271,110543.1804,53814.33753,82122.07121,1242102.358,86890.02366
57,57357.0394,89537.87211,68504.11,89901.51341,91773.75358,62882.48446,45597.63891,58586.56112,898540.5219,1064799.367
58,44879.79795,52319.10645,60996.68174,167958.1753,957248.4015,1104740.296,545376.0368,86421.23516,426192.7038,90341.21157
59,349763.2768,44841.76579,49256.25053,82373.68184,44091.42988,69465.05052,63290.19512,134060.3918,244168.3431,45440.3413
60,61927.71821,170259.9187,63819.93951,46860.78761,52895.7286,44240.67027,48611.37233,81314.0151,50366.56086,238904.4382
61,82145.36178,70623.81706,60957.06078,103004.6883,433637.5035,61674.28276,50541.14547,49009.03568,50974.02337,75018.57948
62,305177.3157,52016.44808,49362.39676,217821.6367,52304.97798,72509.57586,55795.6271,769654.4296,54769.34618,52110.44541
63,71370.75996,49369.92429,77187.0075,51184.66688,83710.2819,83253.34919,65983.93245,117659.7302,96702.27384,45355.91174
64,54272.74417,58015.77664,321011.6304,52816.55264,93087.32129,122308.9211,44622.69512,257641.3121,53382.5787,103492.5008
65,184763.9433,134286.5223,48265.13057,74696.81124,160944.5767,100027.6925,3382035.263,84459.77226,54240.62358,160222.0979
66,360346.3006,132115.1247,119423.1155,109946.8243,67313.21057,71551.82494,53877.19986,103193.5927,352396.4424,49143.73931
67,134753.4512,61590.20377,78396.71751,86615.14915,79149.40542,189852.3555,48350.46312,120443.7848,1722035.868,51962.82297
68,175603.1414,52033.44667,51195.08819,79566.70598,52069.22766,47987.85673,78215.50315,72912.9699,47154.38034,160016.3348
69,73541.50521,52244.68093,59517.65498,83056.52855,185200.1476,47551.91852,47625.43467,111365.8262,47407.40938,93781.53213
70,50620.11941,52623.19017,44126.34199,155751.6873,67109.77382,51504.09463,97788.07689,388000.4439,65756.72409,81332.92935
71,43346.76446,51869.64595,1577016.473,58844.1808,198210.1951,61581.33315,419126.4799,149833.7101,48308.93159,63284.43445
72,55103.47734,216119.6512,92770.77552,115101.4533,54470.219,44252.26175,61008.57882,475225.6217,292831.8757,63431.92365
73,57024.43572,51038.46514,415911.249,128092.757,922316.3065,317662.3558,79928.0161,55461.84686,77401.77537,71429.24377
74,49686.60141,94945.87434,70902.35607,66011.48079,114509.5481,55822.55175,93656.24359,54885.56565,65831.08853,64273.27351
75,53885.90928,45126.29907,102133.0076,71210.16824,110306.705,52431.38744,264233.5404,103627.8645,236533.0101,437053.7822
76,68568.66213,46111.57892,58485.92328,185856.9188,508368.2119,35156.40576,47663.74101,51245.70601,54106.74782,65576.75757
77,58035.55038,72218.15793,79397.72744,87667.02392,48012.96473,59538.34574,52926.23465,280394.41,231610.6635,240675.0848
78,81926.56608,54299.31684,49684.61796,52830.84324,147397.1112,63530.35315,67148.23375,89768.08204,76395.11652,155180.1074
79,82997.14232,119192.7836,98950.58067,59524.15838,58343.77121,70155.28264,186722.0617,65208.80861,50047.29953,60046.77394
80,52813.01289,47540.03061,120376.6512,72476.20745,83764.23496,143572.6958,68590.77651,68509.8502,219666.7055,65455.62472
81,118268.5647,62038.99535,104914.181,81014.59342,100061.4965,71070.66146,63308.28927,52116.02946,146943.7461,48632.66121
82,285762.6863,232633.9703,48589.16876,93928.42864,85881.4025,96841.08954,59094.42691,49137.14206,389951.1375,57015.72267
83,45316.75119,70315.69459,171862.413,61120.47889,67002.39797,63760.04206,51652.41978,66096.77546,143301.8791,47298.28114
84,129564.1163,48305.87991,137118.6386,350196.2481,107293.4824,86796.14246,54575.07664,73048.14309,86486.49008,81580.54537
85,367739.6078,76419.27754,1084054.652,497328.3937,105009.5107,302628.4983,56846.60892,214996.0348,119079.5414,58600.05545
86,124366.2844,3057087.097,11109950.56,159881.4393,41930.0923,196758.9408,94957.00647,57619.65999,61305.19251,66721.16937
87,173929.1273,51852.81946,382748.9879,1251524.315,49840.41832,58709.57637,88610.09974,128107.2801,179496.8434,57668.32354
88,53709.25625,44008.17693,134560.3376,142698.1369,66317.45771,224374.1829,177707.2211,55459.07581,68794.60381,53639.0804
89,61960.33683,50015.54722,152856.3757,57631.43548,76673.38327,196218.3759,65354.7056,49326.44026,48397.46737,85451.37951
90,61164.89758,244621.0082,55155.53391,87242.72439,178835.7369,314360.3001,55997.1131,64469.63919,112599.1086,66903.7692
91,50700.80645,50009.90044,61743.57439,126163.8011,77421.79989,65531.62326,605548.3618,220156.705,55491.06282,73504.05879
92,374808.927,66452.4901,66670.64873,57432.97621,52486.78022,47387.33075,70319.55033,59095.85946,58291.40172,225993.8781
93,139859.3859,84072.41582,353433.0617,51188.57815,160659.0562,156504.922,66540.45055,46560.79015,179442.6145,64428.15407
94,100437.8825,51309.07416,47844.77965,87843.74967,342452.1348,123060.6833,135398.8688,151476.471,56840.05873,51445.46716
95,89388.60041,72164.6304,105505.6307,334110.1084,52648.27218,224303.9262,105195.0009,84256.86088,44342.67462,47791.48354
96,66715.49268,49726.23172,61659.08112,111203.8931,169819.4531,46634.70994,60243.36496,59174.22474,362139.203,56101.30883
97,47345.12036,106170.3508,48342.96777,69544.55022,171578.2002,217649.3635,127836.3533,61949.50265,131473.3302,88685.66128
98,49446.27753,113438.729,136649.5652,62527.02668,117210.2578,89551.00283,77832.63213,52928.26121,54582.32447,861549.6254
99,163082.0738,174793.8451,59273.17855,186038.4042,72362.48024,69414.99849,57120.9295,174076.985,78875.54223,44335.89976
100,98537.41374,69036.59294,98525.2167,122349.7604,173637.2893,97592.86985,181041.4962,55706.4854,113332.2634,47000.14746
101,56532.77944,58143.99395,46522.09133,167137.9726,213531.9063,132198.4231,45280.76919,82907.55419,755026.7848,39573.82646
102,60656.66765,120064.3553,57557.09913,69994.31733,53150.68448,51690.97521,125577.6548,157285.8664,69632.58051,65465.07939
103,228800.1621,48940.00394,76187.05456,78287.72835,240577.3998,72750.09126,45518.43844,922666.1369,119812.812,120685.5362
104,99094.03256,50728.41148,49384.55657,66393.7753,99339.12324,101966.6654,61190.7947,64052.31745,47181.49701,241884.4004
105,47863.89034,93459.66484,93150.91959,91933.49892,55712.91748,149292.1254,145886.0434,66213.04542,57589.06965,48020.62061
106,159766.2993,231046.042,47263.89569,245899.5353,46258.11299,56563.24248,62736.64885,52267.9354,179067.6722,83798.85827
107,162096.4173,46619.92051,48222.22805,67296.14666,69423.60815,51276.40217,75169.42932,107872.6163,345878.4429,46316.76627
108,146787.5258,49422.66521,50686.62531,47987.01438,49963.03269,139994.2368,56181.27434,122619.1617,210068.7737,57932.45538
109,58200.2161,137311.6179,148480.5704,52566.08591,162003.7134,98333.65465,342218.5125,276055.8198,1086083.842,49404.55833
110,58003.26263,46120.16844,46355.83206,159755.0346,57213.76086,2329320.04,516077.4512,85985.20809,93372.96933,62920.83822
111,57697.19563,47972.19184,61386.56822,51188.42377,128384.2264,50947.41161,58171.23676,43218.93125,64870.03176,92827.67178
112,42992.9887,55333.97286,63878.68658,218256.6864,56283.15594,117646.4386,63313.57568,85960.98477,50498.02926,709231.212
113,67214.65735,48867.86779,31422.58125,98295.12728,130032.2118,56748.7933,216584.3491,56004.95877,46296.14961,53397.59026
114,59236.84611,76206.88806,49474.17222,83028.07056,54138.98023,64955.60855,55703.38459,97304.20092,741170.3583,50896.39821
115,56249.19768,196715.959,58246.99487,62702.14842,79802.57841,66270.56723,234869.2474,48339.93149,63332.9153,51231.19153
116,54590.68909,78304.67346,288736.8613,61062.10876,267718.0186,58465.98792,301656.5403,190034.3953,70699.81801,86945.27371
117,55547.54002,74704.65339,51320.22258,54254.40617,51854.3926,173682.5556,53140.94554,190784.6403,138804.6114,894206.6048
118,54090.87899,64299.26594,77694.57623,49322.08531,387212.1497,139788.5461,44050.19968,99491.5683,74142.87165,42467.51381
119,76953.69586,86447.75692,291181.2114,208183.1086,91772.26528,121239.7255,57434.31232,220691.0785,143212.8177,419977.7676
120,94200.06988,118045.5318,75049.66287,194198.1753,50593.43352,67106.7481,47962.54898,117379.2464,185149.7312,52877.12259
121,63890.83015,46503.74527,49620.14471,57710.40542,47908.13957,54858.701,50798.60991,69718.21082,83355.73352,114173.1398
122,80425.76639,92102.19086,78435.89615,109353.5227,73318.32901,67811.59852,79861.89554,50056.44441,62883.8482,47605.49946
123,75259.77553,51788.36518,231881.3467,46491.12035,71275.64972,55311.78419,60985.07674,51653.03105,153221.4488,51937.35797
124,88017.74974,112621.5875,44436.32807,49615.71537,481955.9035,45175.24682,52989.77039,52073.96387,158269.888,102494.8352
125,65142.7579,60176.92787,49165.52785,46714.29003,109166.1457,135499.8856,209196.0219,95265.19668,55940.84452,59422.45055
126,94282.73541,52462.40564,192376.6246,204889.111,118556.1246,181886.4873,136511.4568,538383.7196,109955.5649,68699.28618
127,62841.75967,310835.8401,48684.83558,455583.313,174037.6717,90136.46311,59641.61284,71761.85256,58561.17276,73015.7767
128,135364.2262,74649.47749,76041.53247,364308.2234,124026.8114,56512.83916,310327.5328,60707.02155,61918.2587,63645.2287
129,126934.9836,48855.70683,362767.9293,51379.26899,697503.3704,172818.921,67403.88487,139522.6793,150882.1267,169648.9388
130,42795.46535,66781.55584,54729.51629,70531.86243,51160.06924,90212.79191,100183.9554,94495.98523,163426.5691,45827.54742
131,160348.7272,1132074.523,79485.03288,65208.01951,91085.1111,50083.9031,58809.33984,65229.11143,482537.034,176885.0455
132,48706.54918,107399.6192,52221.74859,1865027.574,59269.65876,398940.1732,126817.9738,46088.32332,119756.3181,72260.75941
133,71552.67068,55743.33686,148013.6583,124999.8955,105182.5839,52180.73145,76575.4101,110723.5847,85918.43055,46739.66907
134,43735.76795,223017.7076,75528.04662,57952.38465,68811.87418,66155.51053,59247.06062,52688.11305,74452.10055,191932.0997
135,181468.3712,81201.08012,308462.9597,64225.97496,67807.83329,57046.83876,51650.57568,49644.09482,66002.63858,96126.3029
136,81149.64958,121674.7766,175768.4407,64048.05395,62278.77309,100677.0019,62497.76252,58207.60579,682205.7528,52868.88893
137,92696.44895,71639.44363,70603.92587,115186.5011,47382.86634,68422.84285,80264.78085,133049.9296,48216.84383,171349.3948
138,54750.51285,51856.92314,63034.05324,61152.96238,49870.91283,122826.7288,79641.33995,63979.24518,44079.41136,49037.74497
139,62404.71123,166625.291,50100.13401,71595.19036,93717.11477,134382.5519,146154.0017,54376.09758,142233.5168,62024.35291
140,73702.90599,59162.92778,110004.7754,119512.9972,46164.13809,50207.26099,254527.4342,129477.442,79281.08667,45216.70642
141,77123.92119,59621.58138,137040.608,73394.26499,69937.72069,81655.4319,61870.8595,67325.88896,98258.92326,116817.2643
142,48668.7507,103514.6538,527178.5213,114049.9566,57318.56856,52456.8588,109317.9968,78296.55355,69822.28495,48785.33331
143,78614.39404,472873.6977,91716.21682,98102.52423,644409.4101,55643.19656,83920.68647,525725.7546,47490.28197,445473.1437
144,67056.08698,122241.4051,73888.38841,878980.8907,80701.86089,44973.18661,77513.23152,89068.40322,160067.1037,59438.49328
145,51293.99597,65555.97924,75414.61001,99492.34721,329338.8834,66571.85026,63663.16917,60895.96517,82600.20391,94221.84431
146,55653.12612,49523.53717,48516.56426,53068.55479,50276.01577,130973.3201,47325.02762,63667.53045,127338.3436,44017.29268
147,51742.29538,198667.4458,89085.4429,70404.04685,51024.88742,50501.81147,48098.31285,54611.45261,77978.54158,40090.79208
148,52345.65169,112284.0411,45256.93492,53456.19553,79293.81802,45395.47232,43689.56856,68621.22464,89815.36901,82007.34957
149,94951.53208,214123.084,50064.02396,82213.31381,49520.85684,45050.44261,273748.2207,145664.2237,43633.26376,107772.8813
150,308199.5565,50408.67878,241795.5511,130384.7564,48594.04591,184983.4083,75465.41348,86662.03336,54413.02643,59809.46338
151,61400.49847,50726.65594,82069.29427,134289.0129,243987.8341,52425.27206,47389.81798,73771.62327,60551.41461,462141.9748
152,126350.7929,261136.0524,290728.549,85735.40182,52825.37934,195112.6885,84212.3911,122579.258,70513.23833,45420.1485
153,44904.2241,96544.15932,46155.21158,49474.6401,49338.36784,111651.3461,174865.7027,72138.52246,53380.20621,60039.11015
154,87172.33836,76842.58726,199967.894,45378.51106,124094.3407,128732.8337,182211.917,46919.15213,107756.0461,48343.98059
155,685308.3063,59198.70126,231703.6603,377903.8458,48359.77419,46595.30605,63667.75982,48693.85744,50822.5002,3474679.457
156,59371.54959,47812.25322,56450.62929,61585.4468,79988.63957,95938.08588,158522.9655,141465.4115,44383.50478,91932.69728
157,50116.66089,50595.8952,95710.23591,58533.94775,56702.98363,50297.99979,1295583.378,62543.08611,45828.01515,50008.32006
158,67922.36818,64266.62017,119120.8472,92682.93168,401907.6656,49164.82303,127725.3005,84801.82863,48867.52989,214620.4039
159,49260.91656,82295.5641,87893.57536,236547.8628,54189.60072,57779.77996,64917.02403,53930.34965,45070.99148,62669.4166
160,171653.1704,70637.90734,68249.92108,69583.52033,240231.8337,48298.60349,59089.17449,57602.71811,143043.8835,103184.6528
161,88903.55374,61946.4473,368434.609,97536.71086,141384.7504,182331.5619,67325.78995,86070.17833,90024.05112,225038.7472
162,62833.79441,88079.33099,149617.6321,64589.13148,87883.59629,76557.03602,70760.98998,88415.33373,63937.11727,67201.55961
163,61193.49852,495883.9121,60025.69541,95726.0728,47480.98985,73820.85791,50137.60188,48447.19829,47835.54095,50547.68577
164,50334.77489,45077.72006,206357.6503,331443.1662,49147.07032,46530.11851,52318.97845,136393.0065,56709.04195,46735.48084
165,48767.6425,56123.99889,44503.93499,157111.6374,50181.11838,638279.4316,113778.7339,189484.9711,44339.84749,326091.0191
166,165557.4443,153208.6701,43036.67121,63503.00196,75923.84013,90927.11549,107346.2651,53586.76627,143550.2605,48244.75533
167,78428.96228,50827.66479,50753.27544,89120.95386,58022.32201,191405.5839,281881.4928,157096.4616,136519.2601,53962.97299
168,50662.87328,61537.98498,59280.44412,195423.3871,50443.86353,85228.21618,96160.29733,236076.0283,121081.9656,47218.73368
169,68007.04437,67538.39717,57881.15713,197013.8816,54850.30651,54827.63236,77573.32311,105675.406,223152.9862,68022.42843
170,125626.2324,323442.2595,56501.68952,217595.0969,129142.5189,219843.5253,776049.7003,76786.58932,72880.99805,159974.3903
171,52608.64439,74329.49446,48951.80077,42670.82571,64601.72503,64787.82201,289509.9424,102954.7927,53986.03764,53671.02993
172,54182.78651,43193.14255,43145.64886,51417.913,47992.60766,78043.86467,53145.32202,61567.35478,119076.2778,57884.69369
173,48847.0109,131701.1983,68775.36466,150742.4052,118472.2669,72674.69457,54412.06481,84611.95468,68042.56009,681666.2127
174,105174.636,209064.0502,150836.6471,241039.3646,88934.47655,69093.85879,64990.1183,141569.3579,63946.15628,295429.9011
175,195866.4008,681504.4272,57918.28893,51661.91404,140620.4952,48042.54347,456793.3672,103752.8549,109952.4755,54733.72858
176,433340.6066,55407.95396,46544.25287,167300.9044,47240.04082,58349.42113,52526.07526,192016.7793,64805.61011,61130.61111
177,110935.4609,48986.39595,48941.7016,111505.1967,323148.2091,56347.91093,60408.84849,184743.6548,46142.02984,60359.58572
178,112436.2191,300974.2441,118264.1141,114430.8998,52093.63645,89647.95706,47320.97337,49786.10467,111747.7539,55238.7699
179,58348.40479,54203.57195,46266.03726,73051.55763,166748.4183,49767.63049,52916.80762,54739.54281,48322.197,59015.97946
180,134472.819,132088.0553,61858.84646,75131.53528,42621.66165,186165.3194,59908.14552,63392.22783,98364.12545,42975.48447
181,41056.90361,48611.49278,80293.09934,42581.42992,64045.2954,53863.49027,53663.29845,252163.908,71945.64588,1001863.099
182,64184.441,100784.3605,45876.99331,80040.63967,52116.02449,85682.73312,94122.59973,62817.94261,809897.2646,44661.91365
183,1166963.126,101968.8986,433174.1416,75801.03785,68282.11495,57041.35369,154148.9658,52367.77522,83766.88084,70000.99153
184,118686.2916,121122.5195,277470.705,397514.1084,667266.6479,78808.04958,153185.5906,288090.296,63970.05645,61432.27241
185,83540.6412,44250.43478,627947.6787,74909.27855,97193.93671,156053.4856,71883.02721,95515.96092,208671.3542,56078.57372
186,96314.17839,50063.53429,335695.075,49656.51341,133538.2522,58134.38624,51471.50692,83826.91883,46194.74386,147240.4092
187,50205.59887,64659.03304,96037.34754,79922.74356,155322.9271,55592.33605,57619.63355,84416.51193,81588.18339,222362.6964
188,70444.63294,133823.5824,62931.57953,50547.50368,150305.4924,474974.1685,65565.79278,49944.33064,49733.39935,105100.8432
189,58714.74265,214215.8015,68629.58465,51979.50765,104273.7185,86462.33221,47738.29678,284982.6064,175366.9937,203117.7374
190,44507.87945,47442.29926,166454.4304,84110.13881,79057.01767,63974.29769,48543.93952,53404.75458,74372.04381,161865.886
191,335702.9844,48685.46979,50520.01347,300634.4004,45637.22588,64925.18469,103725.371,56661.44096,40806.34037,83208.6577
192,50074.83899,113409.7855,87016.50587,73726.35978,56228.35501,50250.58644,247622.4173,93513.36225,84475.31884,359536.4331
193,47866.30831,153593.5249,122936.4903,131168.1185,93066.15784,72881.71176,63502.67276,57911.00085,48358.71899,76117.34988
194,48001.46976,67966.50652,114577.1125,74130.8503,65333.67613,114185.6001,123308.8599,55822.42013,48673.57947,54528.52675
195,132906.5515,52866.35063,389996.8405,85927.87045,52368.42223,90164.56128,65620.61027,50846.87808,344811.8398,49268.67729
196,59595.01884,54137.81957,57368.19841,88054.98671,62342.68301,54439.07137,70236.98088,150692.7774,85244.99502,357264.6439
197,51057.98756,163818.1282,78432.92333,272078.531,164865.2194,57295.24323,182989.6581,52459.68963,205833.8898,194980.3151
198,335972.4357,81163.87443,150008.5157,40994.48868,50037.68015,170776.2736,58422.72881,52497.75709,60192.49939,176738.9335
199,57909.03781,54777.0068,66388.9085,66787.71705,55142.75595,1535959.139,67797.69435,47337.04476,66838.10242,58888.19373
200,88799.68315,48573.81245,266230.5382,96838.83517,54523.71117,49775.55733,62786.58543,59803.0052,69654.33873,58894.45321
201,65675.4,50739.91367,103376.2505,761484.1839,128293.5454,187447.0589,62909.57086,97070.71491,108986.4594,48953.75874
202,351080.5527,64544.38743,113822.0723,149846.3865,183525.3265,51509.7256,48034.99122,49192.34884,168231.198,308921.0403
203,56023.39339,105489.3434,135919.5268,55094.15158,28383.50258,102730.003,70652.0605,67487.22997,147121.6031,784392.4967
204,139744.6665,56640.47414,49621.40331,49574.80716,109278.8593,81120.79314,242462.4988,132872.6599,135473.9713,509011.8578
205,56556.52833,69378.96672,51184.54675,438646.3365,81320.97095,105491.8268,48483.41628,161427.2315,120930.7188,54615.22632
206,55182.60516,60277.58192,59208.70122,98757.76138,44444.80391,83200.45807,49463.35094,54335.11981,55876.34933,50448.71915
207,54341.93539,50181.9469,51322.29311,56844.37199,68220.85492,979494.6864,51616.97554,123720.1566,51262.48301,36613.99578
208,66714.57224,88280.68389,35916.79548,147266.3855,772993.9219,120917.1812,96740.13284,80357.46957,164496.7636,597547.6869
209,108936.0403,142098.725,297283.8461,87219.09754,47440.0221,94807.52364,67398.59462,61262.52221,93977.06413,61484.97556
210,564562.0371,60573.32538,63766.35261,57560.16414,427026.7843,65684.48405,111194.3146,57010.3898,51823.15948,100887.8003
211,67042.09234,49118.44107,76861.86109,1216769.204,87565.28071,116770.0405,72106.44317,264698.6508,74071.00559,64593.39934
212,57384.60974,387441.7013,99080.29803,112249.7651,53751.39656,73980.70487,68632.87564,74495.85776,61474.07262,157570.1607
213,70013.83432,30784.5583,61231.30273,53381.13619,55179.86681,126115.8126,82781.71434,66013.07241,46629.05403,105870.8507
214,85019.07836,55425.35489,387719.7059,52551.30372,62882.93117,52683.07284,48040.20499,70388.00622,206751.9977,84800.80451
215,60202.97791,120124.2739,53155.02969,100406.5393,54443.34915,50522.58051,113359.4995,47973.16968,48871.07952,69068.17894
216,154892.4179,48803.96476,52432.43467,72247.2757,167728.2781,49439.00993,41846.77932,69856.60755,559378.6305,77730.26435
217,57087.4475,579665.6997,54627.42267,65588.68334,46355.5135,44843.25016,85560.76208,264379.3193,74366.97107,55579.17127
218,68661.43317,125086.8103,46542.51486,141337.7086,96237.06779,47944.19991,102423.5114,48820.57538,480440.4719,50384.72181
219,114215.42,52650.7255,60614.39867,64987.5624,123408.429,52254.88353,58169.03934,50796.50964,66132.83462,63611.28865
220,59581.97472,49670.14982,54353.40707,587697.2616,152600.2384,63567.87887,102465.256,47319.37568,53084.84222,53649.48741
221,56540.19393,50245.60193,67784.03691,144550.2937,66420.81998,85934.32224,52883.15862,56561.24322,64352.17836,46021.10058
222,52377.17493,72192.36306,46055.02642,204813.2752,42106.2403,56848.94815,308100.2202,141508.0453,53525.17793,122783.7275
223,52336.96396,47350.6821,59591.79598,51277.38582,53121.07816,104188.4181,136237.9089,102775.3207,65566.90763,107608.495
224,61805.95569,69652.72035,137139.8536,135378.873,77346.00648,76052.61117,49479.41796,45184.49665,281743.2291,90680.81531
